id;titulo;descricao;data_publicacao;data_inicio;data_fim;preco
1;bah;aside back-up;2024-05-21T00:27:30;2024-05-20T19:05:19;2024-05-21T04:09:39;21093.28
2;or round;abaft supposing;2024-05-21T04:50:35;2024-05-20T17:53:44;2024-05-21T00:35:28;12606.9
3;out scarcely;modern;2024-05-21T06:22:26;2024-05-21T13:29:37;2024-05-21T10:17:10;24197.67
4;athwart lively hmph;phooey;2024-05-21T07:48:51;2024-05-20T21:11:38;2024-05-20T18:54:27;27284.39
5;existence;pitcher fickle;2024-05-21T10:06:15;2024-05-21T09:13:28;2024-05-20T19:33:12;24045.25
6;muskrat;interlink lacerate sprawl;2024-05-21T16:46:57;2024-05-20T19:05:59;2024-05-21T01:08:23;18785.25
7;often;nearly whoever;2024-05-20T17:44:43;2024-05-21T02:02:46;2024-05-20T23:51:07;24545.99
8;blushing abaft;colorfully except miniature;2024-05-20T22:52:57;2024-05-21T08:05:08;2024-05-20T23:42:01;23182.89
9;however lest anenst;picnic;2024-05-21T01:50:39;2024-05-21T04:59:18;2024-05-20T22:46:31;24225.93
10;fast job employment;evenly;2024-05-21T17:22:22;2024-05-21T09:20:03;2024-05-21T03:30:45;30707.67
