id;tipo_meta;valor_meta;data_inicio;data_fim
1;GANHO_DE_MASSA_MUSCULAR;14028;2024-05-21T08:06:48;2024-05-21T02:38:58
2;OUTRO;31606;2024-05-20T19:28:14;2024-05-20T20:12:56
3;PERDA_DE_PESO;9488;2024-05-20T19:49:22;2024-05-21T16:11:27
4;PERDA_DE_PESO;19499;2024-05-21T03:08:50;2024-05-21T07:32:55
5;OUTRO;9399;2024-05-21T04:51:31;2024-05-20T19:12:18
6;PERDA_DE_PESO;9454;2024-05-20T18:19:49;2024-05-20T21:59:22
7;OUTRO;26990;2024-05-20T19:11:23;2024-05-21T03:52:25
8;PERDA_DE_PESO;11603;2024-05-20T18:04:18;2024-05-21T12:39:58
9;GANHO_DE_MASSA_MUSCULAR;7518;2024-05-21T13:22:50;2024-05-21T08:13:46
10;PERDA_DE_PESO;21631;2024-05-21T07:04:58;2024-05-21T12:49:59
